K,L1_error,L2_error,L_inf_error
10,0.005970103019410,0.007007387351170,0.012095253899695
20,0.002971600154464,0.003400847382822,0.005771053242057
50,0.001185461219652,0.001337781612503,0.002245021998434
100,0.000592047925029,0.000665075386308,0.001110922760915
200,0.000295693196447,0.000331322707479,0.000551303959238
500,0.000117990532332,0.000131871342899,0.000217872735252
1000,0.000058774884809,0.000065520214563,0.000107116610089
2000,0.000029170604153,0.000032372943955,0.000051811074428
5000,0.000011408947996,0.000012505671006,0.000018650544817
10000,0.000005488843344,0.000005909990578,0.000007601338556
