N,L1_error,L2_error,L_inf_error
10,0.006834458919516,0.009422825748840,0.024526190663032
20,0.004667785584790,0.005242469684105,0.008949047344792
50,0.005756538249566,0.006668286663399,0.010687210778688
100,0.005911655679805,0.006922145299423,0.011748981659686
200,0.005953277206519,0.006986327943197,0.012011874235750
500,0.005967240491117,0.007004621775791,0.012084880165485
1000,0.005970103024497,0.007007387354473,0.012095253900785
2000,0.005971203716041,0.007008152217987,0.012097844260303
5000,0.005971744330447,0.007008397762783,0.012098543641745
10000,0.005971912553589,0.007008453084322,0.012098649071490
